#num	fastmod	normmod
0      	68      	28      
1      	16      	16      
2      	16      	15      
3      	16      	16      
4      	17      	15      
5      	17      	17      
6      	17      	16      
7      	17      	15      
8      	17      	15      
9      	17      	15      
10     	18      	16      
11     	17      	16      
12     	16      	16      
13     	17      	16      
14     	16      	16      
15     	17      	16      
16     	16      	15      
17     	17      	16      
18     	16      	16      
19     	17      	16      
20     	17      	15      
21     	17      	16      
22     	17      	15      
23     	16      	16      
24     	16      	16      
25     	16      	16      
26     	17      	15      
27     	17      	15      
28     	16      	16      
29     	16      	17      
30     	17      	16      
31     	16      	16      
32     	16      	15      
33     	17      	16      
34     	17      	16      
35     	16      	15      
36     	17      	15      
37     	16      	16      
38     	18      	14      
39     	16      	16      
40     	17      	16      
41     	16      	16      
42     	16      	15      
43     	17      	16      
44     	16      	15      
45     	17      	16      
46     	17      	16      
47     	16      	16      
48     	17      	17      
49     	17      	16      
50     	16      	17      
51     	16      	16      
52     	17      	15      
53     	16      	16      
54     	16      	15      
55     	16      	16      
56     	16      	15      
57     	17      	16      
58     	17      	15      
59     	17      	16      
60     	17      	16      
61     	17      	16      
62     	16      	16      
63     	17      	15      
64     	17      	16      
65     	16      	16      
66     	17      	16      
67     	17      	15      
68     	16      	16      
69     	16      	16      
70     	16      	15      
71     	16      	16      
72     	16      	16      
73     	17      	16      
74     	16      	16      
75     	17      	16      
76     	17      	16      
77     	17      	15      
78     	17      	16      
79     	17      	15      
80     	17      	17      
81     	17      	15      
82     	17      	17      
83     	16      	16      
84     	17      	16      
85     	16      	17      
86     	17      	16      
87     	16      	16      
88     	17      	17      
89     	17      	17      
90     	17      	16      
91     	17      	15      
92     	16      	15      
93     	16      	16      
94     	16      	15      
95     	17      	17      
96     	17      	16      
97     	16      	16      
98     	17      	16      
